종목코드,종목명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"405000","플라즈맵","5980","5880","-100","-1.67","3493943","20283047910"
"041590","플래스크","1048","1084","36","3.44","11121534","11747951192"
"367000","플래티어","10360","10330","-30","-0.29","634402","6356287560"
"075130","플랜티넷","2530","2365","-165","-6.52","1375376","3364246265"
"222670","플럼라인생명과학","7000","7300","300","4.29","18628","135732750"
"009810","플레이그램","754","619","-135","-17.90","11791237","8215290584"
"237820","플레이디","5120","5660","540","10.55","24935669","177908959760"
"023770","플레이위드","5510","5370","-140","-2.54","988270","5144710625"
"300080","플리토","27150","36000","8850","32.60","3968285","140921926200"
"150440","피노텍","994","994","0","0.00","0","0"
"032580","피델릭스","1663","1420","-243","-14.61","28961554","47988344291"
"051380","피씨디렉트","8060","7300","-760","-9.43","1504233","11377123620"
"241820","피씨엘","5929","7750","1821","30.71","3586254","26880908680"
"237750","피앤씨테크","6620","6010","-610","-9.21","1771120","11268725300"
"319660","피에스케이","21000","20900","-100","-0.48","11040080","244496282350"
"031980","피에스케이홀딩스","20100","26000","5900","29.35","17629084","468439581790"
"002230","피에스텍","4140","4330","190","4.59","409992","1698548860"
"057880","피에이치씨","1740","1740","0","0.00","0","0"
"043370","피에이치에이","11350","9330","-2020","-17.80","2372809","25235561110"
"242350","피엔아이컴퍼니","3695","1091","-2604","-70.47","763144","1331491092"
"239890","피엔에이치테크","22600","19530","-3070","-13.58","2166440","45016547420"
"347740","피엔케이피부임상연구센타","2955","3130","175","5.92","15998767","51034850600"
"137400","피엔티","55900","72000","16100","28.80","24611924","1772986616800"
"147760","피엠티","5280","5250","-30","-0.57","3042860","17257009635"
"128660","피제이메탈","4955","4265","-690","-13.93","7687999","35553618445"
"006140","피제이전자","6560","5990","-570","-8.69","1718677","10423724260"
"376180","피코그램","8790","6550","-2240","-25.48","7379019","56237313940"
"304840","피플바이오","10510","9790","-720","-6.85","4017975","37385136110"
"062970","피피아이","2745","2625","-120","-4.37","3667819","9685870540"
"087600","픽셀플러스","7470","6390","-1080","-14.46","374880","2540827320"
"291810","핀텔","6540","6320","-220","-3.36","4732063","32830101290"
"161580","필옵틱스","14170","9440","-4730","-33.38","71343104","1125507686740"
